prepconfig,EN_ONLY,COM_STR,SPLIT,SPLIT_REPR,TABS_NEWLINES,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
01100,multilang,strings+NO_comments,camel+underscore,separators,tabs+newlines,989312,2241760627,597319,391993,0.018,435312,716007,0.032,365165,926448,0.041,315502,1125100,0.050,186935,1950515,0.087,141591,2481897,0.111,117087,2891267,0.129,102251,3215511,0.144,92133,3487428,0.156,84400,3733845,0.167,78528,3950390,0.176,73538,4159682,0.186,68928,4376166,0.195,64792,4590856,0.205,61531,4776489,0.213,58741,4949242,0.221,56407,5105555,0.228,54111,5270759,0.235,52139,5422549,0.242,50327,5571008,0.249,48751,5708101,0.255,47279,5843478,0.261,45915,5975738,0.267,36954,7065937,0.316,31837,7949583,0.355,26053,9367757,0.418,22350,10649921,0.476,19862,11762274,0.525,13951,15920436,0.711
01101,multilang,strings+NO_comments,camel+underscore,separators,NO_tabs+NO_newlines,989310,1774498800,597317,391993,0.022,435310,716007,0.040,365163,926448,0.052,315500,1125100,0.064,186933,1950515,0.110,141589,2481897,0.140,117085,2891267,0.163,102249,3215511,0.182,92131,3487428,0.197,84398,3733845,0.211,78526,3950390,0.223,73536,4159682,0.235,68926,4376166,0.247,64790,4590856,0.259,61529,4776489,0.270,58739,4949242,0.279,56405,5105555,0.288,54109,5270759,0.298,52137,5422549,0.306,50325,5571008,0.314,48749,5708101,0.322,47277,5843478,0.330,45913,5975738,0.337,36952,7065937,0.399,31835,7949583,0.449,26051,9367757,0.529,22348,10649921,0.601,19860,11762274,0.664,13949,15920436,0.899
01110,multilang,strings+NO_comments,camel+underscore,boundaries,tabs+newlines,989313,2491144837,597320,391993,0.016,435313,716007,0.029,365166,926448,0.037,315503,1125100,0.045,186936,1950515,0.078,141592,2481897,0.100,117088,2891267,0.116,102252,3215511,0.129,92134,3487428,0.140,84401,3733845,0.150,78529,3950390,0.159,73539,4159682,0.167,68929,4376166,0.176,64793,4590856,0.185,61532,4776489,0.192,58742,4949242,0.199,56408,5105555,0.205,54112,5270759,0.212,52140,5422549,0.218,50328,5571008,0.224,48752,5708101,0.229,47280,5843478,0.235,45916,5975738,0.240,36955,7065937,0.284,31838,7949583,0.319,26054,9367757,0.376,22351,10649921,0.428,19863,11762274,0.473,13952,15920436,0.640
01111,multilang,strings+NO_comments,camel+underscore,boundaries,NO_tabs+NO_newlines,989311,2023883010,597318,391993,0.019,435311,716007,0.035,365164,926448,0.046,315501,1125100,0.056,186934,1950515,0.097,141590,2481897,0.123,117086,2891267,0.143,102250,3215511,0.159,92132,3487428,0.173,84399,3733845,0.185,78527,3950390,0.195,73537,4159682,0.206,68927,4376166,0.217,64791,4590856,0.227,61530,4776489,0.236,58740,4949242,0.245,56406,5105555,0.253,54110,5270759,0.261,52138,5422549,0.268,50326,5571008,0.276,48750,5708101,0.282,47278,5843478,0.289,45914,5975738,0.296,36953,7065937,0.350,31836,7949583,0.393,26052,9367757,0.464,22349,10649921,0.527,19861,11762274,0.582,13950,15920436,0.788
01200,multilang,strings+NO_comments,camel+underscore+numbers,separators,tabs+newlines,587178,2307894561,378485,208693,0.009,296178,373307,0.016,249345,513806,0.022,217136,642642,0.028,145845,1112715,0.048,115427,1468325,0.064,98087,1759351,0.076,86684,2008321,0.087,78714,2222599,0.096,72330,2426163,0.105,67372,2608954,0.113,63372,2776528,0.120,59958,2936684,0.127,56956,3092432,0.134,54445,3235401,0.140,52212,3373795,0.146,50290,3502446,0.152,48490,3631904,0.158,46971,3748845,0.163,45575,3863248,0.168,44348,3969982,0.172,43155,4079705,0.177,42021,4189638,0.182,34049,5160925,0.224,29395,5965170,0.259,24134,7253103,0.315,20862,8385675,0.364,18638,9380808,0.407,13208,13212344,0.573
01201,multilang,strings+NO_comments,camel+underscore+numbers,separators,NO_tabs+NO_newlines,587176,1840632734,378483,208693,0.011,296176,373307,0.020,249343,513806,0.028,217134,642642,0.035,145843,1112715,0.061,115425,1468325,0.080,98085,1759351,0.096,86682,2008321,0.109,78712,2222599,0.121,72328,2426163,0.132,67370,2608954,0.142,63370,2776528,0.151,59956,2936684,0.160,56954,3092432,0.168,54443,3235401,0.176,52210,3373795,0.184,50288,3502446,0.191,48488,3631904,0.198,46969,3748845,0.204,45573,3863248,0.210,44346,3969982,0.216,43153,4079705,0.222,42019,4189638,0.228,34047,5160925,0.281,29393,5965170,0.325,24132,7253103,0.395,20860,8385675,0.456,18636,9380808,0.510,13206,13212344,0.719
01210,multilang,strings+NO_comments,camel+underscore+numbers,boundaries,tabs+newlines,587179,2547599702,378486,208693,0.008,296179,373307,0.015,249346,513806,0.020,217137,642642,0.025,145846,1112715,0.044,115428,1468325,0.058,98088,1759351,0.069,86684,2008345,0.079,78714,2222623,0.087,72330,2426187,0.095,67372,2608978,0.103,63372,2776552,0.109,59958,2936708,0.115,56956,3092456,0.122,54445,3235425,0.127,52212,3373819,0.133,50290,3502470,0.138,48490,3631928,0.143,46971,3748869,0.147,45575,3863272,0.152,44348,3970006,0.156,43155,4079729,0.160,42021,4189662,0.165,34049,5160949,0.203,29395,5965194,0.234,24134,7253127,0.285,20862,8385699,0.330,18638,9380832,0.369,13208,13212368,0.519
01211,multilang,strings+NO_comments,camel+underscore+numbers,boundaries,NO_tabs+NO_newlines,587177,2080337875,378484,208693,0.010,296177,373307,0.018,249344,513806,0.025,217135,642642,0.031,145844,1112715,0.054,115426,1468325,0.071,98086,1759351,0.085,86682,2008345,0.097,78712,2222623,0.107,72328,2426187,0.117,67370,2608978,0.126,63370,2776552,0.134,59956,2936708,0.141,56954,3092456,0.149,54443,3235425,0.156,52210,3373819,0.162,50288,3502470,0.169,48488,3631928,0.175,46969,3748869,0.180,45573,3863272,0.186,44346,3970006,0.191,43153,4079729,0.196,42019,4189662,0.202,34047,5160949,0.248,29393,5965194,0.287,24132,7253127,0.349,20860,8385699,0.404,18636,9380832,0.452,13206,13212368,0.636
01400,multilang,strings+NO_comments,camel+underscore+bpe_5k,separators,tabs+newlines,9980,2407631495,8896,1084,0.000,8229,2418,0.000,8004,3093,0.000,7806,3885,0.000,7326,7063,0.000,7106,9652,0.000,6962,12108,0.001,6853,14508,0.001,6757,17093,0.001,6682,19484,0.001,6613,22029,0.001,6551,24614,0.001,6504,26813,0.001,6457,29239,0.001,6397,32632,0.001,6367,34489,0.001,6339,36356,0.002,6312,38301,0.002,6284,40443,0.002,6251,43150,0.002,6224,45500,0.002,6200,47705,0.002,6182,49445,0.002,6007,70642,0.003,5880,92941,0.004,5721,132060,0.005,5623,166626,0.007,5534,206608,0.009,5301,370950,0.015
01401,multilang,strings+NO_comments,camel+underscore+bpe_5k,separators,NO_tabs+NO_newlines,9978,1940369668,8894,1084,0.000,8227,2418,0.000,8002,3093,0.000,7804,3885,0.000,7324,7063,0.000,7104,9652,0.000,6960,12108,0.001,6851,14508,0.001,6755,17093,0.001,6680,19484,0.001,6611,22029,0.001,6549,24614,0.001,6502,26813,0.001,6455,29239,0.002,6395,32632,0.002,6365,34489,0.002,6337,36356,0.002,6310,38301,0.002,6282,40443,0.002,6249,43150,0.002,6222,45500,0.002,6198,47705,0.002,6180,49445,0.003,6005,70642,0.004,5878,92941,0.005,5719,132060,0.007,5621,166626,0.009,5532,206608,0.011,5299,370950,0.019
01410,multilang,strings+NO_comments,camel+underscore+bpe_5k,boundaries,tabs+newlines,9982,2640163950,8897,1085,0.000,8230,2419,0.000,8005,3094,0.000,7807,3886,0.000,7327,7064,0.000,7107,9653,0.000,6963,12109,0.000,6853,14533,0.001,6757,17118,0.001,6682,19509,0.001,6613,22054,0.001,6551,24639,0.001,6504,26838,0.001,6457,29264,0.001,6397,32657,0.001,6367,34514,0.001,6339,36381,0.001,6312,38326,0.001,6284,40468,0.002,6251,43175,0.002,6224,45525,0.002,6200,47730,0.002,6182,49470,0.002,6007,70667,0.003,5880,92966,0.004,5721,132085,0.005,5623,166651,0.006,5534,206633,0.008,5301,370975,0.014
01411,multilang,strings+NO_comments,camel+underscore+bpe_5k,boundaries,NO_tabs+NO_newlines,9979,2173028134,8895,1084,0.000,8228,2418,0.000,8003,3093,0.000,7805,3885,0.000,7325,7063,0.000,7105,9652,0.000,6961,12108,0.001,6851,14532,0.001,6755,17117,0.001,6680,19508,0.001,6611,22053,0.001,6549,24638,0.001,6502,26837,0.001,6455,29263,0.001,6395,32656,0.002,6365,34513,0.002,6337,36380,0.002,6310,38325,0.002,6282,40467,0.002,6249,43174,0.002,6222,45524,0.002,6198,47729,0.002,6180,49469,0.002,6005,70666,0.003,5878,92965,0.004,5719,132084,0.006,5621,166650,0.008,5532,206632,0.010,5299,370974,0.017
01500,multilang,strings+NO_comments,camel+underscore+bpe_1k,separators,tabs+newlines,5982,3013024356,4898,1084,0.000,4231,2418,0.000,4006,3093,0.000,3810,3877,0.000,3332,7042,0.000,3114,9610,0.000,2971,12049,0.000,2864,14403,0.000,2772,16882,0.001,2699,19209,0.001,2631,21718,0.001,2569,24303,0.001,2522,26506,0.001,2478,28782,0.001,2421,32008,0.001,2392,33803,0.001,2368,35408,0.001,2342,37282,0.001,2316,39270,0.001,2284,41896,0.001,2258,44158,0.001,2235,46269,0.002,2218,47910,0.002,2051,68096,0.002,1926,90049,0.003,1782,125332,0.004,1695,155946,0.005,1614,192491,0.006,1425,326256,0.011
01501,multilang,strings+NO_comments,camel+underscore+bpe_1k,separators,NO_tabs+NO_newlines,5980,2554688228,4896,1084,0.000,4229,2418,0.000,4004,3093,0.000,3808,3877,0.000,3330,7042,0.000,3112,9610,0.000,2969,12049,0.000,2862,14403,0.001,2770,16882,0.001,2697,19209,0.001,2629,21718,0.001,2567,24303,0.001,2521,26457,0.001,2476,28783,0.001,2419,32009,0.001,2390,33804,0.001,2366,35409,0.001,2340,37283,0.001,2314,39271,0.002,2282,41897,0.002,2256,44159,0.002,2233,46270,0.002,2216,47911,0.002,2049,68108,0.003,1924,90062,0.004,1780,125345,0.005,1693,155959,0.006,1612,192504,0.008,1424,325345,0.013
01510,multilang,strings+NO_comments,camel+underscore+bpe_1k,boundaries,tabs+newlines,5983,3132986279,4899,1084,0.000,4232,2418,0.000,4007,3093,0.000,3811,3877,0.000,3333,7042,0.000,3115,9610,0.000,2972,12049,0.000,2864,14427,0.000,2772,16906,0.001,2699,19233,0.001,2631,21742,0.001,2569,24327,0.001,2523,26481,0.001,2478,28807,0.001,2421,32033,0.001,2392,33828,0.001,2368,35433,0.001,2342,37307,0.001,2316,39295,0.001,2284,41921,0.001,2258,44183,0.001,2235,46294,0.001,2218,47935,0.002,2051,68132,0.002,1926,90086,0.003,1782,125369,0.004,1695,155983,0.005,1614,192528,0.006,1426,325369,0.010
01511,multilang,strings+NO_comments,camel+underscore+bpe_1k,boundaries,NO_tabs+NO_newlines,5981,2676168756,4897,1084,0.000,4230,2418,0.000,4005,3093,0.000,3810,3873,0.000,3331,7043,0.000,3113,9611,0.000,2970,12050,0.000,2862,14428,0.001,2770,16907,0.001,2697,19235,0.001,2629,21745,0.001,2567,24330,0.001,2521,26484,0.001,2476,28810,0.001,2420,31981,0.001,2391,33776,0.001,2366,35447,0.001,2340,37321,0.001,2314,39309,0.001,2282,41935,0.002,2256,44198,0.002,2234,46215,0.002,2216,47951,0.002,2049,68148,0.003,1924,90102,0.003,1780,125386,0.005,1693,156000,0.006,1612,192545,0.007,1424,325395,0.012
01600,multilang,strings+NO_comments,camel+underscore+bpe_10k,separators,tabs+newlines,14962,2329637875,13870,1092,0.000,13200,2432,0.000,12973,3113,0.000,12769,3929,0.000,12282,7156,0.000,12051,9866,0.000,11901,12420,0.001,11787,14930,0.001,11689,17567,0.001,11601,20376,0.001,11531,22956,0.001,11461,25879,0.001,11408,28361,0.001,11354,31158,0.001,11289,34836,0.001,11252,37130,0.002,11222,39132,0.002,11191,41362,0.002,11155,44122,0.002,11119,47071,0.002,11087,49852,0.002,11057,52607,0.002,11037,54540,0.002,10841,78385,0.003,10691,104625,0.004,10495,153026,0.007,10356,201918,0.009,10233,256948,0.011,9864,520375,0.022
01601,multilang,strings+NO_comments,camel+underscore+bpe_10k,separators,NO_tabs+NO_newlines,14960,1862376048,13868,1092,0.000,13198,2432,0.000,12971,3113,0.000,12767,3929,0.000,12280,7156,0.000,12049,9866,0.001,11899,12420,0.001,11785,14930,0.001,11687,17567,0.001,11599,20376,0.001,11529,22956,0.001,11459,25879,0.001,11406,28361,0.002,11352,31158,0.002,11287,34836,0.002,11250,37130,0.002,11220,39132,0.002,11189,41362,0.002,11153,44122,0.002,11117,47071,0.003,11085,49852,0.003,11055,52607,0.003,11035,54540,0.003,10839,78385,0.004,10689,104625,0.006,10493,153026,0.008,10354,201918,0.011,10231,256948,0.014,9862,520375,0.028
01610,multilang,strings+NO_comments,camel+underscore+bpe_10k,boundaries,tabs+newlines,14963,2570822281,13871,1092,0.000,13201,2432,0.000,12974,3113,0.000,12770,3929,0.000,12283,7156,0.000,12052,9866,0.000,11902,12420,0.000,11787,14954,0.001,11689,17591,0.001,11601,20400,0.001,11531,22980,0.001,11461,25903,0.001,11408,28385,0.001,11354,31182,0.001,11289,34860,0.001,11252,37154,0.001,11222,39156,0.002,11191,41386,0.002,11155,44146,0.002,11119,47095,0.002,11087,49876,0.002,11057,52631,0.002,11037,54564,0.002,10841,78409,0.003,10691,104649,0.004,10495,153050,0.006,10356,201942,0.008,10233,256972,0.010,9864,520399,0.020
01611,multilang,strings+NO_comments,camel+underscore+bpe_10k,boundaries,NO_tabs+NO_newlines,14962,2103441159,13869,1093,0.000,13199,2433,0.000,12972,3114,0.000,12768,3930,0.000,12281,7157,0.000,12050,9867,0.000,11900,12421,0.001,11785,14955,0.001,11687,17592,0.001,11599,20401,0.001,11529,22981,0.001,11459,25904,0.001,11406,28386,0.001,11352,31183,0.001,11287,34861,0.002,11250,37155,0.002,11220,39157,0.002,11189,41387,0.002,11153,44147,0.002,11117,47096,0.002,11085,49877,0.002,11055,52632,0.003,11035,54565,0.003,10839,78410,0.004,10689,104650,0.005,10493,153051,0.007,10354,201943,0.010,10231,256972,0.012,9862,520391,0.025
02000,multilang,NO_strings+NO_comments,NO_splitting,separators,tabs+newlines,5883193,1259828574,4722348,1160845,0.092,3610242,3385057,0.269,2934818,5411329,0.430,2387726,7599697,0.603,1267687,14912564,1.184,856908,19704996,1.565,650413,23155237,1.839,519414,26014002,2.066,438434,28189703,2.239,377131,30141165,2.394,331928,31807134,2.526,295058,33351202,2.648,266471,34692135,2.755,242948,35913706,2.852,223510,37019745,2.940,206662,38062544,3.023,192863,38986113,3.096,180616,39867081,3.166,169799,40699287,3.232,159974,41504397,3.296,151626,42230316,3.354,144134,42919039,3.408,137122,43598681,3.462,93364,48900411,3.883,71286,52701876,4.185,48842,58159454,4.618,37415,62098720,4.931,30550,65158670,5.174,16416,75000537,5.956
02001,multilang,NO_strings+NO_comments,NO_splitting,separators,NO_tabs+NO_newlines,5883191,858524823,4722346,1160845,0.135,3610240,3385057,0.395,2934816,5411329,0.631,2387724,7599697,0.886,1267685,14912564,1.738,856906,19704996,2.297,650411,23155237,2.699,519412,26014002,3.032,438432,28189703,3.286,377129,30141165,3.513,331926,31807134,3.707,295056,33351202,3.887,266469,34692135,4.044,242946,35913706,4.186,223508,37019745,4.315,206660,38062544,4.436,192861,38986113,4.544,180614,39867081,4.647,169797,40699287,4.744,159972,41504397,4.838,151624,42230316,4.922,144132,42919039,5.002,137120,43598681,5.082,93362,48900411,5.700,71284,52701876,6.143,48840,58159454,6.779,37413,62098720,7.238,30548,65158670,7.595,16414,75000537,8.742
02010,multilang,NO_strings+NO_comments,NO_splitting,boundaries,tabs+newlines,5883193,1259828574,4722348,1160845,0.092,3610242,3385057,0.269,2934818,5411329,0.430,2387726,7599697,0.603,1267687,14912564,1.184,856908,19704996,1.565,650413,23155237,1.839,519414,26014002,2.066,438434,28189703,2.239,377131,30141165,2.394,331928,31807134,2.526,295058,33351202,2.648,266471,34692135,2.755,242948,35913706,2.852,223510,37019745,2.940,206662,38062544,3.023,192863,38986113,3.096,180616,39867081,3.166,169799,40699287,3.232,159974,41504397,3.296,151626,42230316,3.354,144134,42919039,3.408,137122,43598681,3.462,93364,48900411,3.883,71286,52701876,4.185,48842,58159454,4.618,37415,62098720,4.931,30550,65158670,5.174,16416,75000537,5.956
02011,multilang,NO_strings+NO_comments,NO_splitting,boundaries,NO_tabs+NO_newlines,5883191,858524823,4722346,1160845,0.135,3610240,3385057,0.395,2934816,5411329,0.631,2387724,7599697,0.886,1267685,14912564,1.738,856906,19704996,2.297,650411,23155237,2.699,519412,26014002,3.032,438432,28189703,3.286,377129,30141165,3.513,331926,31807134,3.707,295056,33351202,3.887,266469,34692135,4.044,242946,35913706,4.186,223508,37019745,4.315,206660,38062544,4.436,192861,38986113,4.544,180614,39867081,4.647,169797,40699287,4.744,159972,41504397,4.838,151624,42230316,4.922,144132,42919039,5.002,137120,43598681,5.082,93362,48900411,5.700,71284,52701876,6.143,48840,58159454,6.779,37413,62098720,7.238,30548,65158670,7.595,16414,75000537,8.742
02100,multilang,NO_strings+NO_comments,camel+underscore,separators,tabs+newlines,696696,1662444521,450012,246684,0.015,338528,469652,0.028,286162,626750,0.038,249047,775210,0.047,140865,1466691,0.088,105227,1883834,0.113,86858,2189468,0.132,75836,2430437,0.146,68447,2628737,0.158,62698,2811998,0.169,58383,2971239,0.179,54700,3125339,0.188,51489,3276168,0.197,48794,3416157,0.206,46502,3546716,0.214,44460,3673080,0.221,42810,3783569,0.228,41266,3894619,0.235,39902,3999575,0.241,38682,4099643,0.247,37602,4193538,0.253,36473,4297284,0.259,35485,4393099,0.265,29044,5176094,0.312,25159,5847123,0.352,20397,7014682,0.423,17488,8023456,0.483,15616,8859306,0.534,11019,12114044,0.730
02101,multilang,NO_strings+NO_comments,camel+underscore,separators,NO_tabs+NO_newlines,696694,1261140770,450010,246684,0.020,338526,469652,0.037,286160,626750,0.050,249045,775210,0.062,140863,1466691,0.116,105225,1883834,0.150,86856,2189468,0.174,75834,2430437,0.193,68445,2628737,0.209,62696,2811998,0.223,58381,2971239,0.236,54698,3125339,0.248,51487,3276168,0.260,48792,3416157,0.271,46500,3546716,0.282,44458,3673080,0.292,42808,3783569,0.301,41264,3894619,0.309,39900,3999575,0.318,38680,4099643,0.326,37600,4193538,0.333,36471,4297284,0.341,35483,4393099,0.349,29042,5176094,0.411,25157,5847123,0.464,20395,7014682,0.557,17486,8023456,0.637,15614,8859306,0.704,11017,12114044,0.962
02110,multilang,NO_strings+NO_comments,camel+underscore,boundaries,tabs+newlines,696697,1888481581,450013,246684,0.013,338529,469652,0.025,286163,626750,0.033,249048,775210,0.041,140866,1466691,0.078,105228,1883834,0.100,86859,2189468,0.116,75837,2430437,0.129,68448,2628737,0.139,62699,2811998,0.149,58384,2971239,0.158,54701,3125339,0.166,51490,3276168,0.174,48795,3416157,0.181,46503,3546716,0.188,44461,3673080,0.195,42811,3783569,0.201,41267,3894619,0.206,39903,3999575,0.212,38683,4099643,0.217,37603,4193538,0.222,36474,4297284,0.228,35486,4393099,0.233,29045,5176094,0.274,25160,5847123,0.310,20398,7014682,0.372,17489,8023456,0.425,15617,8859306,0.470,11020,12114044,0.642
02111,multilang,NO_strings+NO_comments,camel+underscore,boundaries,NO_tabs+NO_newlines,696695,1487177830,450011,246684,0.017,338527,469652,0.032,286161,626750,0.042,249046,775210,0.052,140864,1466691,0.099,105226,1883834,0.127,86857,2189468,0.147,75835,2430437,0.164,68446,2628737,0.177,62697,2811998,0.189,58382,2971239,0.200,54699,3125339,0.210,51488,3276168,0.221,48793,3416157,0.230,46501,3546716,0.239,44459,3673080,0.247,42809,3783569,0.255,41265,3894619,0.262,39901,3999575,0.269,38681,4099643,0.276,37601,4193538,0.282,36472,4297284,0.289,35484,4393099,0.296,29043,5176094,0.349,25158,5847123,0.394,20396,7014682,0.472,17487,8023456,0.540,15615,8859306,0.597,11018,12114044,0.816
02200,multilang,NO_strings+NO_comments,camel+underscore+numbers,separators,tabs+newlines,329272,8497094,260649,81003,0.005,220864,160573,0.009,186132,264769,0.016,164785,350157,0.021,112455,695703,0.041,89754,961169,0.056,76726,1179491,0.069,67725,1376155,0.081,61495,1543557,0.091,56502,1702788,0.100,52692,1843367,0.108,49592,1973150,0.116,46752,2106597,0.124,44475,2224756,0.131,42528,2335658,0.137,40824,2441194,0.143,39391,2537149,0.149,38041,2634281,0.155,36801,2729737,0.160,35689,2820957,0.166,34699,2907012,0.171,33642,3004157,0.176,32747,3090963,0.181,26737,3821437,0.224,23155,4439576,0.261,18970,5464908,0.321,16393,6358408,0.373,14697,7116013,0.418,12380,8497094,0.499
02201,multilang,NO_strings+NO_comments,camel+underscore+numbers,separators,NO_tabs+NO_newlines,341650,1303943314,260647,81003,0.006,220862,160573,0.012,186130,264769,0.020,164783,350157,0.027,112453,695703,0.053,89752,961169,0.074,76724,1179491,0.091,67723,1376155,0.106,61493,1543557,0.119,56500,1702788,0.131,52690,1843367,0.142,49590,1973150,0.152,46750,2106597,0.162,44473,2224756,0.171,42526,2335658,0.179,40822,2441194,0.188,39389,2537149,0.195,38039,2634281,0.202,36799,2729737,0.210,35687,2820957,0.217,34697,2907012,0.223,33640,3004157,0.231,32745,3090963,0.237,26735,3821437,0.294,23153,4439576,0.341,18968,5464908,0.420,16391,6358408,0.488,14695,7116013,0.547,10413,10147466,0.780
