prepconfig,EN_ONLY,COM_STR,SPLIT,SPLIT_REPR,TABS_NEWLINES,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
02210,multilang,NO_strings+NO_comments,camel+underscore+numbers,boundaries,tabs+newlines,341652,1923556419,260649,81003,0.004,220864,160573,0.008,186132,264769,0.014,164785,350157,0.018,112455,695703,0.036,89754,961169,0.050,76726,1179491,0.061,67725,1376155,0.072,61495,1543557,0.080,56502,1702788,0.089,52692,1843367,0.096,49592,1973150,0.103,46752,2106597,0.110,44475,2224756,0.116,42528,2335658,0.122,40824,2441194,0.127,39391,2537149,0.132,38041,2634281,0.137,36801,2729737,0.142,35689,2820957,0.147,34699,2907012,0.151,33642,3004157,0.156,32747,3090963,0.161,26737,3821437,0.199,23155,4439576,0.231,18970,5464908,0.284,16393,6358408,0.331,14697,7116013,0.370,10415,10147466,0.528
02211,multilang,NO_strings+NO_comments,camel+underscore+numbers,boundaries,NO_tabs+NO_newlines,341650,1522252668,260647,81003,0.005,220862,160573,0.011,186130,264769,0.017,164783,350157,0.023,112453,695703,0.046,89752,961169,0.063,76724,1179491,0.078,67723,1376155,0.091,61493,1543557,0.102,56500,1702788,0.112,52690,1843367,0.121,49590,1973150,0.130,46750,2106597,0.139,44473,2224756,0.146,42526,2335658,0.154,40822,2441194,0.161,39389,2537149,0.167,38039,2634281,0.173,36799,2729737,0.180,35687,2820957,0.186,34697,2907012,0.191,33640,3004157,0.198,32745,3090963,0.203,26735,3821437,0.251,23153,4439576,0.292,18968,5464908,0.360,16391,6358408,0.418,14695,7116013,0.468,10413,10147466,0.668
02400,multilang,NO_strings+NO_comments,camel+underscore+bpe_5k,separators,tabs+newlines,1743,1719378269,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000,5410,0,0.000
02401,multilang,NO_strings+NO_comments,camel+underscore+bpe_5k,separators,NO_tabs+NO_newlines,5408,1368752020,5282,126,0.000,5225,240,0.000,5200,315,0.000,5182,387,0.000,5117,789,0.000,5093,1072,0.000,5078,1342,0.000,5069,1532,0.000,5065,1638,0.000,5059,1830,0.000,5058,1865,0.000,5051,2161,0.000,5050,2206,0.000,5048,2310,0.000,5044,2540,0.000,5043,2603,0.000,5041,2738,0.000,5037,3028,0.000,5034,3258,0.000,5033,3342,0.000,5029,3690,0.000,5027,3874,0.000,5024,4163,0.000,4998,7421,0.001,4980,10513,0.001,4945,19096,0.001,4923,26630,0.002,4893,39960,0.003,4803,106931,0.008
02410,multilang,NO_strings+NO_comments,camel+underscore+bpe_5k,boundaries,tabs+newlines,5410,1976956594,5284,126,0.000,5227,240,0.000,5202,315,0.000,5184,387,0.000,5119,789,0.000,5095,1072,0.000,5080,1342,0.000,5071,1532,0.000,5067,1638,0.000,5061,1830,0.000,5060,1865,0.000,5053,2161,0.000,5052,2206,0.000,5050,2310,0.000,5046,2540,0.000,5045,2603,0.000,5043,2738,0.000,5039,3028,0.000,5036,3258,0.000,5035,3342,0.000,5031,3690,0.000,5029,3874,0.000,5026,4163,0.000,5000,7421,0.000,4982,10513,0.001,4947,19096,0.001,4925,26630,0.001,4895,39960,0.002,4805,106931,0.005
02411,multilang,NO_strings+NO_comments,camel+underscore+bpe_5k,boundaries,NO_tabs+NO_newlines,5723,1575649769,5440,283,0.000,5332,499,0.000,5285,640,0.000,5255,760,0.000,5157,1394,0.000,5120,1827,0.000,5095,2262,0.000,5080,2584,0.000,5071,2823,0.000,5065,3015,0.000,5063,3085,0.000,5057,3338,0.000,5055,3430,0.000,5052,3586,0.000,5049,3761,0.000,5048,3824,0.000,5046,3960,0.000,5042,4249,0.000,5039,4480,0.000,5038,4564,0.000,5034,4912,0.000,5032,5096,0.000,5029,5385,0.000,5003,8670,0.001,4984,11945,0.001,4947,21059,0.001,4926,28280,0.002,4895,42075,0.003,4803,110490,0.007
02500,multilang,NO_strings+NO_comments,camel+underscore+bpe_1k,separators,tabs+newlines,635,23117498,1300,122,0.000,1248,226,0.000,1226,292,0.000,1211,352,0.000,1157,683,0.000,1138,910,0.000,1129,1070,0.000,1122,1216,0.000,1121,1244,0.000,1120,1276,0.000,1120,1276,0.000,1119,1319,0.000,1119,1319,0.000,1119,1319,0.000,1118,1378,0.000,1118,1378,0.000,1118,1378,0.000,1118,1378,0.000,1116,1533,0.000,1116,1533,0.000,1116,1533,0.000,1116,1533,0.000,1116,1533,0.000,1114,1759,0.000,1113,1939,0.000,1111,2428,0.000,1111,2428,0.000,1109,3360,0.000,1104,7004,0.000
02501,multilang,NO_strings+NO_comments,camel+underscore+bpe_1k,separators,NO_tabs+NO_newlines,1420,1759204318,1298,122,0.000,1246,226,0.000,1224,292,0.000,1209,352,0.000,1155,683,0.000,1136,910,0.000,1127,1070,0.000,1120,1216,0.000,1119,1244,0.000,1118,1276,0.000,1118,1276,0.000,1117,1319,0.000,1117,1319,0.000,1117,1319,0.000,1116,1378,0.000,1116,1378,0.000,1116,1378,0.000,1116,1378,0.000,1114,1533,0.000,1114,1533,0.000,1114,1533,0.000,1114,1533,0.000,1114,1533,0.000,1112,1759,0.000,1111,1939,0.000,1109,2428,0.000,1109,2428,0.000,1107,3360,0.000,1102,7004,0.000
02510,multilang,NO_strings+NO_comments,camel+underscore+bpe_1k,boundaries,tabs+newlines,1422,2246233360,1300,122,0.000,1248,226,0.000,1226,292,0.000,1211,352,0.000,1157,683,0.000,1138,910,0.000,1129,1070,0.000,1122,1216,0.000,1121,1244,0.000,1120,1276,0.000,1120,1276,0.000,1119,1319,0.000,1119,1319,0.000,1119,1319,0.000,1118,1378,0.000,1118,1378,0.000,1118,1378,0.000,1118,1378,0.000,1116,1533,0.000,1116,1533,0.000,1116,1533,0.000,1116,1533,0.000,1116,1533,0.000,1114,1759,0.000,1113,1939,0.000,1111,2428,0.000,1111,2428,0.000,1109,3360,0.000,1104,7004,0.000
02511,multilang,NO_strings+NO_comments,camel+underscore+bpe_1k,boundaries,NO_tabs+NO_newlines,1420,1845076914,1298,122,0.000,1246,226,0.000,1224,292,0.000,1209,352,0.000,1155,683,0.000,1136,910,0.000,1127,1070,0.000,1120,1216,0.000,1119,1244,0.000,1118,1276,0.000,1118,1276,0.000,1117,1319,0.000,1117,1319,0.000,1117,1319,0.000,1116,1378,0.000,1116,1378,0.000,1116,1378,0.000,1116,1378,0.000,1114,1533,0.000,1114,1533,0.000,1114,1533,0.000,1114,1533,0.000,1114,1533,0.000,1112,1759,0.000,1111,1939,0.000,1109,2428,0.000,1109,2428,0.000,1107,3360,0.000,1102,7004,0.000
02600,multilang,NO_strings+NO_comments,camel+underscore+bpe_10k,separators,tabs+newlines,10335,1718446355,10200,135,0.000,10139,257,0.000,10101,371,0.000,10079,459,0.000,9989,1045,0.000,9949,1523,0.000,9917,2075,0.000,9898,2484,0.000,9879,3002,0.000,9858,3665,0.000,9842,4253,0.000,9819,5220,0.000,9806,5827,0.000,9795,6397,0.000,9783,7091,0.000,9772,7778,0.000,9760,8585,0.001,9750,9313,0.001,9740,10084,0.001,9732,10741,0.001,9721,11698,0.001,9714,12349,0.001,9704,13314,0.001,9620,23758,0.001,9549,35802,0.002,9423,66986,0.004,9331,98897,0.006,9227,145320,0.008,8845,429978,0.025
02601,multilang,NO_strings+NO_comments,camel+underscore+bpe_10k,separators,NO_tabs+NO_newlines,10333,1317142604,10198,135,0.000,10137,257,0.000,10099,371,0.000,10077,459,0.000,9987,1045,0.000,9947,1523,0.000,9915,2075,0.000,9896,2484,0.000,9877,3002,0.000,9856,3665,0.000,9840,4253,0.000,9817,5220,0.000,9804,5827,0.000,9793,6397,0.000,9781,7091,0.001,9770,7778,0.001,9758,8585,0.001,9748,9313,0.001,9738,10084,0.001,9730,10741,0.001,9719,11698,0.001,9712,12349,0.001,9702,13314,0.001,9618,23758,0.002,9547,35802,0.003,9421,66986,0.005,9329,98897,0.008,9225,145320,0.011,8843,429978,0.033
02610,multilang,NO_strings+NO_comments,camel+underscore+bpe_10k,boundaries,tabs+newlines,10335,1936375436,10200,135,0.000,10139,257,0.000,10101,371,0.000,10079,459,0.000,9989,1045,0.000,9949,1523,0.000,9917,2075,0.000,9898,2484,0.000,9879,3002,0.000,9858,3665,0.000,9842,4253,0.000,9819,5220,0.000,9806,5827,0.000,9795,6397,0.000,9783,7091,0.000,9772,7778,0.000,9760,8585,0.000,9750,9313,0.000,9740,10084,0.001,9732,10741,0.001,9721,11698,0.001,9714,12349,0.001,9704,13314,0.001,9620,23758,0.001,9549,35802,0.002,9423,66986,0.003,9331,98897,0.005,9227,145320,0.008,8845,429978,0.022
02611,multilang,NO_strings+NO_comments,camel+underscore+bpe_10k,boundaries,NO_tabs+NO_newlines,10333,1535071685,10198,135,0.000,10137,257,0.000,10099,371,0.000,10077,459,0.000,9987,1045,0.000,9947,1523,0.000,9915,2075,0.000,9896,2484,0.000,9877,3002,0.000,9856,3665,0.000,9840,4253,0.000,9817,5220,0.000,9804,5827,0.000,9793,6397,0.000,9781,7091,0.000,9770,7778,0.001,9758,8585,0.001,9748,9313,0.001,9738,10084,0.001,9730,10741,0.001,9719,11698,0.001,9712,12349,0.001,9702,13314,0.001,9618,23758,0.002,9547,35802,0.002,9421,66986,0.004,9329,98897,0.006,9225,145320,0.009,8843,429978,0.028
10100,en_only,strings+comments,camel+underscore,separators,tabs+newlines,1130397,2368807519,693548,436849,0.018,496911,830123,0.035,417927,1067075,0.045,356481,1312859,0.055,209229,2263080,0.096,158121,2863158,0.121,130538,3325492,0.141,114670,3672100,0.155,104147,3954892,0.167,96132,4210439,0.178,89975,4437511,0.188,84538,4665486,0.197,79495,4902312,0.207,74941,5138873,0.217,71098,5357737,0.226,67680,5569377,0.235,64813,5761350,0.244,61919,5969446,0.252,59629,6145582,0.260,57428,6325954,0.267,55513,6492540,0.274,53727,6656798,0.281,52028,6821548,0.288,40256,8254523,0.349,34009,9328453,0.394,27600,10887786,0.460,23831,12192675,0.515,21413,13274559,0.561,15139,17713923,0.749
10101,en_only,strings+comments,camel+underscore,separators,NO_tabs+NO_newlines,1130395,1900818853,693546,436849,0.023,496909,830123,0.044,417925,1067075,0.056,356479,1312859,0.069,209227,2263080,0.119,158119,2863158,0.151,130536,3325492,0.175,114668,3672100,0.194,104145,3954892,0.208,96130,4210439,0.222,89973,4437511,0.234,84536,4665486,0.246,79493,4902312,0.258,74939,5138873,0.271,71096,5357737,0.282,67678,5569377,0.293,64811,5761350,0.304,61917,5969446,0.315,59627,6145582,0.324,57426,6325954,0.333,55511,6492540,0.342,53725,6656798,0.351,52026,6821548,0.359,40254,8254523,0.435,34007,9328453,0.492,27598,10887786,0.574,23829,12192675,0.642,21411,13274559,0.700,15137,17713923,0.933
10110,en_only,strings+comments,camel+underscore,boundaries,tabs+newlines,1130397,2637612271,693548,436849,0.017,496911,830123,0.032,417927,1067075,0.041,356482,1312855,0.050,209230,2263076,0.086,158122,2863154,0.109,130539,3325488,0.126,114671,3672096,0.139,104148,3954888,0.150,96133,4210435,0.160,89976,4437507,0.168,84539,4665482,0.177,79496,4902308,0.186,74942,5138869,0.195,71099,5357733,0.203,67681,5569373,0.211,64814,5761346,0.219,61920,5969442,0.227,59630,6145578,0.233,57429,6325950,0.240,55514,6492536,0.246,53728,6656794,0.253,52029,6821544,0.259,40257,8254519,0.313,34010,9328449,0.354,27601,10887782,0.413,23832,12192671,0.463,21414,13274555,0.504,15140,17713919,0.672
10111,en_only,strings+comments,camel+underscore,boundaries,NO_tabs+NO_newlines,1130401,2169656035,693559,436842,0.020,496921,830118,0.038,417937,1067070,0.049,356492,1312850,0.061,209238,2263079,0.104,158131,2863142,0.132,130552,3325403,0.153,114683,3672033,0.169,104163,3954737,0.183,96145,4210377,0.194,89987,4437488,0.205,84548,4665542,0.215,79504,4902413,0.226,74952,5138868,0.237,71108,5357787,0.247,67689,5569490,0.257,64820,5761598,0.266,61927,5969626,0.276,59637,6145765,0.284,57437,6326055,0.292,55522,6492642,0.300,53736,6656900,0.307,52037,6821652,0.315,40268,8254252,0.381,34017,9328943,0.431,27602,10889649,0.503,23834,12194178,0.563,21412,13277989,0.613,15141,17715763,0.818
10200,en_only,strings+comments,camel+underscore+numbers,separators,tabs+newlines,678920,2445021017,454981,223939,0.009,349260,435381,0.018,296167,594660,0.024,254664,760672,0.031,170987,1313920,0.054,136589,1717673,0.070,116371,2058865,0.084,103260,2345313,0.096,93927,2596299,0.106,86488,2833646,0.116,80371,3059326,0.125,74989,3284983,0.135,70423,3499318,0.143,66421,3707114,0.152,62861,3909955,0.160,59685,4106782,0.168,57010,4285808,0.176,54377,4475153,0.183,52341,4631723,0.190,50451,4786543,0.196,48798,4930293,0.202,47287,5069233,0.208,45865,5207071,0.213,36646,6325655,0.259,31616,7191340,0.294,26097,8535118,0.350,22645,9731677,0.399,20353,10757673,0.441,14111,15161647,0.621
10201,en_only,strings+comments,camel+underscore+numbers,separators,NO_tabs+NO_newlines,678918,1977032351,454979,223939,0.011,349258,435381,0.022,296165,594660,0.030,254662,760672,0.039,170985,1313920,0.067,136587,1717673,0.087,116369,2058865,0.104,103258,2345313,0.119,93925,2596299,0.132,86486,2833646,0.144,80369,3059326,0.155,74987,3284983,0.166,70421,3499318,0.177,66419,3707114,0.188,62859,3909955,0.198,59683,4106782,0.208,57008,4285808,0.217,54375,4475153,0.227,52339,4631723,0.235,50449,4786543,0.242,48796,4930293,0.250,47285,5069233,0.257,45863,5207071,0.264,36644,6325655,0.320,31614,7191340,0.364,26095,8535118,0.432,22643,9731677,0.493,20351,10757673,0.545,14109,15161647,0.768
10210,en_only,strings+comments,camel+underscore+numbers,boundaries,tabs+newlines,678920,2703256404,454981,223939,0.008,349260,435381,0.016,296167,594660,0.022,254665,760668,0.028,170988,1313916,0.049,136590,1717669,0.064,116372,2058861,0.076,103261,2345309,0.087,93928,2596295,0.096,86489,2833642,0.105,80371,3059358,0.113,74989,3285015,0.122,70423,3499350,0.130,66421,3707146,0.137,62861,3909987,0.145,59685,4106814,0.152,57010,4285840,0.159,54377,4475185,0.166,52341,4631755,0.172,50451,4786575,0.177,48798,4930325,0.183,47287,5069265,0.188,45865,5207103,0.193,36646,6325687,0.234,31616,7191372,0.266,26097,8535150,0.316,22645,9731709,0.360,20353,10757705,0.398,14111,15161679,0.562
10211,en_only,strings+comments,camel+underscore+numbers,boundaries,NO_tabs+NO_newlines,678918,2235267738,454979,223939,0.010,349258,435381,0.020,296165,594660,0.027,254663,760668,0.034,170986,1313916,0.059,136588,1717669,0.077,116370,2058861,0.092,103259,2345309,0.105,93926,2596295,0.116,86487,2833642,0.127,80369,3059358,0.137,74987,3285015,0.147,70421,3499350,0.157,66419,3707146,0.166,62859,3909987,0.175,59683,4106814,0.184,57008,4285840,0.192,54375,4475185,0.200,52339,4631755,0.208,50449,4786575,0.214,48796,4930325,0.221,47285,5069265,0.227,45863,5207103,0.233,36644,6325687,0.283,31614,7191372,0.322,26095,8535150,0.382,22643,9731709,0.436,20351,10757705,0.482,14109,15161679,0.679
10400,en_only,strings+comments,camel+underscore+bpe_5k,separators,tabs+newlines,5141,2541239993,5136,5,0.000,5131,15,0.000,5127,27,0.000,5125,35,0.000,5122,62,0.000,5117,119,0.000,5116,136,0.000,5114,182,0.000,5113,210,0.000,5108,368,0.000,5108,368,0.000,5106,450,0.000,5105,498,0.000,5104,551,0.000,5103,607,0.000,5103,607,0.000,5100,805,0.000,5098,949,0.000,5098,949,0.000,5096,1109,0.000,5095,1196,0.000,5094,1290,0.000,5092,1482,0.000,5083,2568,0.000,5079,3281,0.000,5064,7101,0.000,5053,10920,0.000,5047,13585,0.001,4999,48265,0.002
10401,en_only,strings+comments,camel+underscore+bpe_5k,separators,NO_tabs+NO_newlines,5139,2073251327,5134,5,0.000,5129,15,0.000,5125,27,0.000,5123,35,0.000,5120,62,0.000,5115,119,0.000,5114,136,0.000,5112,182,0.000,5111,210,0.000,5106,368,0.000,5106,368,0.000,5104,450,0.000,5103,498,0.000,5102,551,0.000,5101,607,0.000,5101,607,0.000,5098,805,0.000,5096,949,0.000,5096,949,0.000,5094,1109,0.000,5093,1196,0.000,5092,1290,0.000,5090,1482,0.000,5081,2568,0.000,5077,3281,0.000,5062,7101,0.000,5051,10920,0.001,5045,13585,0.001,4997,48265,0.002
10410,en_only,strings+comments,camel+underscore+bpe_5k,boundaries,tabs+newlines,5141,2796976120,5136,5,0.000,5131,15,0.000,5127,27,0.000,5126,31,0.000,5123,58,0.000,5118,115,0.000,5117,132,0.000,5115,178,0.000,5114,206,0.000,5109,364,0.000,5108,400,0.000,5106,482,0.000,5105,530,0.000,5104,583,0.000,5103,639,0.000,5103,639,0.000,5100,837,0.000,5098,981,0.000,5098,981,0.000,5096,1141,0.000,5095,1228,0.000,5094,1322,0.000,5092,1514,0.000,5083,2600,0.000,5079,3313,0.000,5064,7133,0.000,5053,10952,0.000,5047,13617,0.000,4999,48297,0.002
10411,en_only,strings+comments,camel+underscore+bpe_5k,boundaries,NO_tabs+NO_newlines,5139,2328987454,5134,5,0.000,5129,15,0.000,5125,27,0.000,5124,31,0.000,5121,58,0.000,5116,115,0.000,5115,132,0.000,5113,178,0.000,5112,206,0.000,5107,364,0.000,5106,400,0.000,5104,482,0.000,5103,530,0.000,5102,583,0.000,5101,639,0.000,5101,639,0.000,5098,837,0.000,5096,981,0.000,5096,981,0.000,5094,1141,0.000,5093,1228,0.000,5092,1322,0.000,5090,1514,0.000,5081,2600,0.000,5077,3313,0.000,5062,7133,0.000,5051,10952,0.000,5045,13617,0.001,4997,48297,0.002
10500,en_only,strings+comments,camel+underscore+bpe_1k,separators,tabs+newlines,1143,3204397941,1138,5,0.000,1133,15,0.000,1129,27,0.000,1128,31,0.000,1126,49,0.000,1123,82,0.000,1123,82,0.000,1123,82,0.000,1123,82,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1121,146,0.000,1120,265,0.000,1119,457,0.000,1117,974,0.000,1117,974,0.000,1117,974,0.000,1113,3759,0.000
10501,en_only,strings+comments,camel+underscore+bpe_1k,separators,NO_tabs+NO_newlines,1141,2736409275,1136,5,0.000,1131,15,0.000,1127,27,0.000,1126,31,0.000,1124,49,0.000,1121,82,0.000,1121,82,0.000,1121,82,0.000,1121,82,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1119,146,0.000,1118,265,0.000,1117,457,0.000,1115,974,0.000,1115,974,0.000,1115,974,0.000,1111,3759,0.000
10510,en_only,strings+comments,camel+underscore+bpe_1k,boundaries,tabs+newlines,1143,3329928056,1138,5,0.000,1133,15,0.000,1129,27,0.000,1129,27,0.000,1127,45,0.000,1124,78,0.000,1124,78,0.000,1124,78,0.000,1124,78,0.000,1122,142,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1121,178,0.000,1120,297,0.000,1119,489,0.000,1117,1006,0.000,1117,1006,0.000,1117,1006,0.000,1113,3791,0.000
10511,en_only,strings+comments,camel+underscore+bpe_1k,boundaries,NO_tabs+NO_newlines,1141,2861939390,1136,5,0.000,1131,15,0.000,1127,27,0.000,1127,27,0.000,1125,45,0.000,1122,78,0.000,1122,78,0.000,1122,78,0.000,1122,78,0.000,1120,142,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1119,178,0.000,1118,297,0.000,1117,489,0.000,1115,1006,0.000,1115,1006,0.000,1115,1006,0.000,1111,3791,0.000
10600,en_only,strings+comments,camel+underscore+bpe_10k,separators,tabs+newlines,10137,2454475663,10127,10,0.000,10118,28,0.000,10110,52,0.000,10105,72,0.000,10091,177,0.000,10078,331,0.000,10075,385,0.000,10067,561,0.000,10060,745,0.000,10051,1034,0.000,10044,1296,0.000,10037,1589,0.000,10029,1967,0.000,10026,2124,0.000,10021,2405,0.000,10019,2532,0.000,10012,2996,0.000,10007,3356,0.000,10000,3895,0.000,9993,4465,0.000,9992,4552,0.000,9990,4739,0.000,9980,5702,0.000,9951,9171,0.000,9926,13451,0.001,9880,25105,0.001,9824,44828,0.002,9788,60957,0.002,9620,181743,0.007
10601,en_only,strings+comments,camel+underscore+bpe_10k,separators,NO_tabs+NO_newlines,10132,1986485275,10123,9,0.000,10114,27,0.000,10106,51,0.000,10101,71,0.000,10087,176,0.000,10074,330,0.000,10071,384,0.000,10063,560,0.000,10056,744,0.000,10047,1033,0.000,10040,1295,0.000,10033,1588,0.000,10026,1918,0.000,10023,2075,0.000,10018,2356,0.000,10016,2483,0.000,10009,2947,0.000,10004,3307,0.000,9997,3846,0.000,9990,4416,0.000,9989,4503,0.000,9987,4690,0.000,9977,5653,0.000,9948,9122,0.000,9923,13402,0.001,9877,25056,0.001,9822,44391,0.002,9786,60520,0.003,9618,181306,0.009
10610,en_only,strings+comments,camel+underscore+bpe_10k,boundaries,tabs+newlines,10134,2719546556,10125,9,0.000,10116,27,0.000,10108,51,0.000,10104,67,0.000,10090,172,0.000,10077,326,0.000,10074,380,0.000,10066,556,0.000,10059,740,0.000,10050,1029,0.000,10042,1327,0.000,10035,1620,0.000,10028,1950,0.000,10025,2107,0.000,10020,2388,0.000,10018,2515,0.000,10011,2979,0.000,10006,3339,0.000,9999,3878,0.000,9992,4448,0.000,9991,4535,0.000,9989,4722,0.000,9979,5685,0.000,9950,9154,0.000,9925,13434,0.000,9879,25088,0.001,9824,44423,0.002,9788,60552,0.002,9620,181338,0.007
10611,en_only,strings+comments,camel+underscore+bpe_10k,boundaries,NO_tabs+NO_newlines,10132,2251557890,10123,9,0.000,10114,27,0.000,10106,51,0.000,10102,67,0.000,10088,172,0.000,10075,326,0.000,10072,380,0.000,10064,556,0.000,10057,740,0.000,10048,1029,0.000,10040,1327,0.000,10033,1620,0.000,10026,1950,0.000,10023,2107,0.000,10018,2388,0.000,10016,2515,0.000,10009,2979,0.000,10004,3339,0.000,9997,3878,0.000,9990,4448,0.000,9989,4535,0.000,9987,4722,0.000,9977,5685,0.000,9948,9154,0.000,9923,13434,0.001,9877,25088,0.001,9822,44423,0.002,9786,60552,0.003,9618,181338,0.008
